dataset,subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,6,n25,tcn_stat,0.48611111111111116,0.4861111111111111,0.3148148148148149,0.4732934180083402
bci2a,6,n50,ann_sew_ce,0.44328703703703703,0.44328703703703703,0.25771604938271603,0.44169227932720795
bci2a,6,n50,ann_sew_equal,0.44097222222222227,0.44097222222222215,0.25462962962962965,0.43708879851247934
bci2a,6,n50,sew_clif_ce,0.5081018518518519,0.5081018518518519,0.34413580246913583,0.5009560095069135
bci2a,6,n50,sew_clif_equal,0.5185185185185185,0.5185185185185185,0.3580246913580247,0.5084387626484178
bci2a,7,all,ann_sew_ce,0.7280092592592592,0.7280092592592592,0.6373456790123456,0.7234665048236583
bci2a,7,all,ann_sew_equal,0.7222222222222223,0.7222222222222222,0.6296296296296297,0.7180134813975075
bci2a,7,all,gru_stat,0.8043981481481483,0.8043981481481483,0.7391975308641975,0.8014934805097451
bci2a,7,all,sew_clif_ce,0.8125,0.8125,0.75,0.8114958027794774
bci2a,7,all,sew_clif_equal,0.8148148148148149,0.8148148148148148,0.7530864197530863,0.8147877516501504
bci2a,7,all,soft_clif_exact,0.767361111111111,0.767361111111111,0.6898148148148149,0.7658109302728372
bci2a,7,all,tcn_stat,0.8043981481481483,0.804398148148148,0.7391975308641975,0.8022455447610364
bci2a,7,n25,ann_sew_ce,0.6377314814814815,0.6377314814814815,0.5169753086419754,0.632211217537986
bci2a,7,n25,ann_sew_equal,0.6354166666666666,0.6354166666666666,0.513888888888889,0.6322557912849528
bci2a,7,n25,gru_stat,0.7581018518518517,0.758101851851852,0.6774691358024691,0.7535479226696197
bci2a,7,n25,sew_clif_ce,0.7546296296296297,0.7546296296296298,0.6728395061728395,0.751256874713223
bci2a,7,n25,sew_clif_equal,0.7546296296296297,0.7546296296296298,0.6728395061728395,0.7543919439138224
bci2a,7,n25,soft_clif_exact,0.710648148148148,0.7106481481481483,0.6141975308641975,0.7085504858724194
bci2a,7,n25,tcn_stat,0.7546296296296298,0.7546296296296297,0.6728395061728395,0.7536965218461811
bci2a,7,n50,ann_sew_ce,0.6956018518518517,0.6956018518518517,0.5941358024691358,0.690873100660006
bci2a,7,n50,ann_sew_equal,0.7094907407407408,0.7094907407407408,0.6126543209876543,0.7069802910703888
bci2a,7,n50,sew_clif_ce,0.7766203703703703,0.7766203703703706,0.7021604938271605,0.7742677026981738
bci2a,7,n50,sew_clif_equal,0.7951388888888888,0.7951388888888888,0.7268518518518517,0.7952068643050719
bci2a,8,all,ann_sew_ce,0.7291666666666666,0.7291666666666666,0.6388888888888888,0.7249502277456769
bci2a,8,all,ann_sew_equal,0.7129629629629629,0.7129629629629631,0.6172839506172839,0.7070503474970226
bci2a,8,all,gru_stat,0.7847222222222222,0.7847222222222222,0.7129629629629629,0.7796924563736396
bci2a,8,all,sew_clif_ce,0.7604166666666666,0.7604166666666666,0.6805555555555555,0.7552189533410877
bci2a,8,all,sew_clif_equal,0.7523148148148148,0.7523148148148148,0.6697530864197532,0.7466277444092789
bci2a,8,all,soft_clif_exact,0.7685185185185186,0.7685185185185185,0.6913580246913581,0.7643211686263571
bci2a,8,all,tcn_stat,0.78125,0.78125,0.7083333333333334,0.7765460367795866
bci2a,8,n25,ann_sew_ce,0.6215277777777778,0.6215277777777778,0.4953703703703704,0.6113186229688486
bci2a,8,n25,ann_sew_equal,0.6307870370370371,0.630787037037037,0.507716049382716,0.6190927970671144
bci2a,8,n25,gru_stat,0.7685185185185185,0.7685185185185185,0.691358024691358,0.7622738732355083
bci2a,8,n25,sew_clif_ce,0.7453703703703703,0.7453703703703703,0.6604938271604938,0.7338607134962266
bci2a,8,n25,sew_clif_equal,0.7465277777777778,0.7465277777777777,0.6620370370370371,0.7348308850916246
bci2a,8,n25,soft_clif_exact,0.7407407407407408,0.7407407407407408,0.6543209876543209,0.7369374372781751
bci2a,8,n25,tcn_stat,0.78125,0.78125,0.7083333333333334,0.7755582373015862
bci2a,8,n50,ann_sew_ce,0.7175925925925926,0.7175925925925926,0.6234567901234568,0.7145172701005867
bci2a,8,n50,ann_sew_equal,0.7256944444444445,0.7256944444444445,0.6342592592592592,0.7229617992214149
bci2a,8,n50,sew_clif_ce,0.7708333333333334,0.7708333333333334,0.6944444444444445,0.7662366924474978
bci2a,8,n50,sew_clif_equal,0.7696759259259259,0.7696759259259259,0.6929012345679012,0.764258795632911
bci2a,9,all,ann_sew_ce,0.7245370370370371,0.7245370370370371,0.632716049382716,0.725761780119278
bci2a,9,all,ann_sew_equal,0.7280092592592592,0.7280092592592592,0.6373456790123457,0.7289347348861103
bci2a,9,all,gru_stat,0.8043981481481483,0.8043981481481483,0.7391975308641975,0.8032976130958577
bci2a,9,all,sew_clif_ce,0.8009259259259259,0.8009259259259259,0.7345679012345679,0.8019835191497032
bci2a,9,all,sew_clif_equal,0.8020833333333334,0.8020833333333335,0.736111111111111,0.8033830015736382
bci2a,9,all,soft_clif_exact,0.7743055555555557,0.7743055555555555,0.6990740740740741,0.7746839486546323
bci2a,9,all,tcn_stat,0.7893518518518517,0.7893518518518517,0.7191358024691358,0.7889657264546921
bci2a,9,n25,ann_sew_ce,0.6689814814814815,0.6689814814814815,0.558641975308642,0.6706644211640475
bci2a,9,n25,ann_sew_equal,0.6747685185185186,0.6747685185185186,0.566358024691358,0.6755400581200052
bci2a,9,n25,gru_stat,0.7824074074074074,0.7824074074074074,0.7098765432098766,0.7818425672891413
bci2a,9,n25,sew_clif_ce,0.7743055555555557,0.7743055555555555,0.6990740740740741,0.7745259408146672
bci2a,9,n25,sew_clif_equal,0.7627314814814815,0.7627314814814815,0.6836419753086419,0.762962323801491
bci2a,9,n25,soft_clif_exact,0.773148148148148,0.7731481481481483,0.6975308641975309,0.769505659746125
bci2a,9,n25,tcn_stat,0.7592592592592592,0.7592592592592594,0.6790123456790124,0.7598405552964828
bci2a,9,n50,ann_sew_ce,0.7210648148148149,0.7210648148148149,0.6280864197530863,0.7200369469355042
bci2a,9,n50,ann_sew_equal,0.7152777777777778,0.7152777777777778,0.6203703703703703,0.7156257761918253
bci2a,9,n50,sew_clif_ce,0.8009259259259259,0.8009259259259259,0.7345679012345679,0.8003754823570266
bci2a,9,n50,sew_clif_equal,0.7858796296296297,0.7858796296296297,0.714506172839506,0.7861719449759376
bnci2014_004,1,all,ann_sew_ce,0.6895833333333333,0.6895833333333333,0.37916666666666665,0.6842602404562926
bnci2014_004,1,all,ann_sew_equal,0.6593749999999999,0.659375,0.31875000000000003,0.6525480825610495
bnci2014_004,1,all,gru_stat,0.6614583333333334,0.6614583333333334,0.3229166666666667,0.6492396312893584
bnci2014_004,1,all,sew_clif_ce,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6557853815154742
bnci2014_004,1,all,sew_clif_equal,0.665625,0.665625,0.33125,0.6553019946728919
bnci2014_004,1,all,soft_clif_exact,0.6760416666666668,0.6760416666666668,0.3520833333333333,0.6608285359267005
bnci2014_004,1,all,tcn_stat,0.6593749999999999,0.6593749999999999,0.31875000000000003,0.6511645969112042
bnci2014_004,1,n100,ann_sew_ce,0.665625,0.665625,0.33125,0.662875618671548
bnci2014_004,1,n100,ann_sew_equal,0.6604166666666667,0.6604166666666667,0.3208333333333333,0.6573313346019835
bnci2014_004,1,n100,sew_clif_ce,0.6802083333333333,0.6802083333333334,0.36041666666666666,0.6752649818654283
bnci2014_004,1,n100,sew_clif_equal,0.6635416666666667,0.6635416666666667,0.32708333333333334,0.6561333771984332
bnci2014_004,1,n25,ann_sew_ce,0.5541666666666666,0.5541666666666666,0.10833333333333332,0.5461931350975249
bnci2014_004,1,n25,ann_sew_equal,0.5552083333333333,0.5552083333333333,0.11041666666666668,0.546462931440929
bnci2014_004,1,n25,gru_stat,0.646875,0.646875,0.29375,0.6263687509295423
bnci2014_004,1,n25,sew_clif_ce,0.6270833333333333,0.6270833333333333,0.25416666666666665,0.6072970180710119
bnci2014_004,1,n25,sew_clif_equal,0.615625,0.615625,0.23125000000000004,0.5958526516034245
bnci2014_004,1,n25,soft_clif_exact,0.6166666666666667,0.6166666666666667,0.2333333333333333,0.5949943429596599
bnci2014_004,1,n25,tcn_stat,0.6458333333333334,0.6458333333333334,0.2916666666666667,0.6375574995489903
bnci2014_004,1,n50,ann_sew_ce,0.6229166666666667,0.6229166666666667,0.24583333333333335,0.6208525736491284
bnci2014_004,1,n50,ann_sew_equal,0.6166666666666666,0.6166666666666666,0.2333333333333333,0.6124397783238068
bnci2014_004,1,n50,sew_clif_ce,0.665625,0.665625,0.33125,0.6557123319163658
bnci2014_004,1,n50,sew_clif_equal,0.6604166666666665,0.6604166666666668,0.3208333333333333,0.6517613807901382
bnci2014_004,2,all,ann_sew_ce,0.4773809523809524,0.4773809523809524,-0.045238095238095265,0.4768063358913208
bnci2014_004,2,all,ann_sew_equal,0.4702380952380952,0.4702380952380952,-0.059523809523809534,0.4699349993607218
bnci2014_004,2,all,gru_stat,0.4797619047619048,0.4797619047619048,-0.04047619047619048,0.47882995069089623
bnci2014_004,2,all,sew_clif_ce,0.4761904761904762,0.4761904761904762,-0.047619047619047596,0.4752559767616951
bnci2014_004,2,all,sew_clif_equal,0.5011904761904762,0.5011904761904762,0.0023809523809523725,0.4998070019863172
bnci2014_004,2,all,soft_clif_exact,0.5428571428571428,0.5428571428571428,0.0857142857142857,0.5400066796967334
bnci2014_004,2,all,tcn_stat,0.47261904761904766,0.47261904761904766,-0.05476190476190479,0.47197041809671464
bnci2014_004,2,n100,ann_sew_ce,0.4857142857142857,0.48571428571428577,-0.02857142857142858,0.4830452698360545
bnci2014_004,2,n100,ann_sew_equal,0.48809523809523814,0.48809523809523814,-0.023809523809523798,0.4853703440911484
bnci2014_004,2,n100,sew_clif_ce,0.48809523809523814,0.4880952380952381,-0.023809523809523836,0.48501499057890035
bnci2014_004,2,n100,sew_clif_equal,0.4892857142857143,0.4892857142857143,-0.021428571428571425,0.48680330866662286
bnci2014_004,2,n25,ann_sew_ce,0.5119047619047619,0.5119047619047619,0.023809523809523798,0.5032437121371792
bnci2014_004,2,n25,ann_sew_equal,0.4988095238095238,0.4988095238095238,-0.0023809523809524094,0.49026726624612343
bnci2014_004,2,n25,gru_stat,0.5154761904761904,0.5154761904761904,0.030952380952380915,0.4968987225516583
