dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,3,2,all,sew_clif_ce,RECOVERED_PARENT,0.8611111111111112,0.8611111111111112,0.8148148148148149,0.860107041507677
bci2a,3,2,n50,ann_sew_ce,RECOVERED_PARENT,0.7569444444444444,0.7569444444444444,0.6759259259259259,0.7533853278400562
bci2a,3,2,n50,sew_clif_ce,RECOVERED_PARENT,0.8368055555555556,0.8368055555555556,0.7824074074074074,0.8337339661779521
bci2a,4,0,n25,soft_clif_exact,REV-E1,0.5833333333333334,0.5833333333333333,0.4444444444444445,0.5739871460708029
bci2a,4,0,all,soft_clif_exact,REV-E1,0.6319444444444444,0.6319444444444444,0.5092592592592592,0.6259536438752108
bci2a,4,0,n25,gru_stat,REV-E2,0.5833333333333334,0.5833333333333334,0.4444444444444445,0.572994706737898
bci2a,4,0,all,gru_stat,REV-E2,0.6458333333333334,0.6458333333333334,0.5277777777777778,0.6410748523659789
bci2a,4,0,n25,tcn_stat,REV-E2,0.6388888888888888,0.6388888888888888,0.5185185185185185,0.6369322341210589
bci2a,4,0,all,tcn_stat,REV-E2,0.625,0.625,0.5,0.6130968296409472
bci2a,4,0,n25,ann_sew_equal,REV-E3,0.5034722222222222,0.5034722222222222,0.33796296296296297,0.48953432895421073
bci2a,4,0,n50,ann_sew_equal,REV-E3,0.5277777777777778,0.5277777777777778,0.3703703703703704,0.5187546355159991
bci2a,4,0,all,ann_sew_equal,REV-E3,0.5659722222222222,0.5659722222222222,0.4212962962962963,0.5624332848901779
bci2a,4,0,n25,sew_clif_equal,REV-E3,0.6354166666666666,0.6354166666666667,0.5138888888888888,0.6278939217963608
bci2a,4,0,n50,sew_clif_equal,REV-E3,0.6041666666666666,0.6041666666666667,0.47222222222222215,0.5955061431623933
bci2a,4,0,all,sew_clif_equal,REV-E3,0.6388888888888888,0.6388888888888888,0.5185185185185185,0.6302360008377601
bci2a,4,0,n25,ann_sew_ce,RECOVERED_PARENT,0.5104166666666666,0.5104166666666666,0.34722222222222215,0.499480104154179
bci2a,4,0,n25,sew_clif_ce,RECOVERED_PARENT,0.6145833333333334,0.6145833333333333,0.48611111111111116,0.602111639770442
bci2a,4,0,all,ann_sew_ce,RECOVERED_PARENT,0.5208333333333334,0.5208333333333334,0.36111111111111116,0.5170448119875601
