dataset,subject,seed,budget,variant,layer,firing_rate,event_sparsity,events,denominator_elements,denominator_definition,total_events_all_layers
bci2a,2,2,n25,sew_clif_equal,3,0.1322337962962963,0.8677662037037037,43872,331776,batch_x_channel_x_time,121530
bci2a,2,2,n50,sew_clif_equal,0,0.17608265817901234,0.8239173418209876,58420,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,1,0.02993586033950617,0.9700641396604939,9932,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,2,0.042827088155864196,0.9571729118441358,14209,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,3,0.1392355082947531,0.8607644917052469,46195,331776,batch_x_channel_x_time,128756
bci2a,2,2,all,sew_clif_equal,0,0.1785813319830247,0.8214186680169753,59249,331776,batch_x_channel_x_time,125092
bci2a,2,2,all,sew_clif_equal,1,0.025369526427469136,0.9746304735725309,8417,331776,batch_x_channel_x_time,125092
bci2a,2,2,all,sew_clif_equal,2,0.03747709297839506,0.9625229070216049,12434,331776,batch_x_channel_x_time,125092
bci2a,2,2,all,sew_clif_equal,3,0.13560956790123457,0.8643904320987654,44992,331776,batch_x_channel_x_time,125092
bci2a,3,0,n25,sew_clif_equal,0,0.1876687885802469,0.8123312114197531,62264,331776,batch_x_channel_x_time,138338
bci2a,3,0,n25,sew_clif_equal,1,0.03451123649691358,0.9654887635030864,11450,331776,batch_x_channel_x_time,138338
bci2a,3,0,n25,sew_clif_equal,2,0.046196831597222224,0.9538031684027778,15327,331776,batch_x_channel_x_time,138338
bci2a,3,0,n25,sew_clif_equal,3,0.14858519000771606,0.8514148099922839,49297,331776,batch_x_channel_x_time,138338
bci2a,3,0,n50,sew_clif_equal,0,0.19116512345679013,0.8088348765432098,63424,331776,batch_x_channel_x_time,139057
bci2a,3,0,n50,sew_clif_equal,1,0.032971040702160496,0.9670289592978395,10939,331776,batch_x_channel_x_time,139057
bci2a,3,0,n50,sew_clif_equal,2,0.04551866319444445,0.9544813368055556,15102,331776,batch_x_channel_x_time,139057
bci2a,3,0,n50,sew_clif_equal,3,0.14947434413580246,0.8505256558641976,49592,331776,batch_x_channel_x_time,139057
bci2a,3,0,all,sew_clif_equal,0,0.1905050395447531,0.8094949604552469,63205,331776,batch_x_channel_x_time,136429
bci2a,3,0,all,sew_clif_equal,1,0.029643494405864196,0.9703565055941358,9835,331776,batch_x_channel_x_time,136429
bci2a,3,0,all,sew_clif_equal,2,0.04439742476851852,0.9556025752314815,14730,331776,batch_x_channel_x_time,136429
bci2a,3,0,all,sew_clif_equal,3,0.1466622058256173,0.8533377941743827,48659,331776,batch_x_channel_x_time,136429
bci2a,3,1,n25,sew_clif_equal,0,0.19296754436728394,0.8070324556327161,64022,331776,batch_x_channel_x_time,143807
bci2a,3,1,n25,sew_clif_equal,1,0.034321349344135804,0.9656786506558642,11387,331776,batch_x_channel_x_time,143807
bci2a,3,1,n25,sew_clif_equal,2,0.052134572723765434,0.9478654272762346,17297,331776,batch_x_channel_x_time,143807
bci2a,3,1,n25,sew_clif_equal,3,0.15402259355709877,0.8459774064429012,51101,331776,batch_x_channel_x_time,143807
bci2a,3,1,n50,sew_clif_equal,0,0.19911928530092593,0.8008807146990741,66063,331776,batch_x_channel_x_time,149816
bci2a,3,1,n50,sew_clif_equal,1,0.03866162712191358,0.9613383728780864,12827,331776,batch_x_channel_x_time,149816
bci2a,3,1,n50,sew_clif_equal,2,0.05347583912037037,0.9465241608796297,17742,331776,batch_x_channel_x_time,149816
bci2a,3,1,n50,sew_clif_equal,3,0.16030092592592593,0.8396990740740741,53184,331776,batch_x_channel_x_time,149816
bci2a,3,1,all,sew_clif_equal,0,0.19314537519290123,0.8068546248070988,64081,331776,batch_x_channel_x_time,139931
bci2a,3,1,all,sew_clif_equal,1,0.03529489776234568,0.9647051022376543,11710,331776,batch_x_channel_x_time,139931
bci2a,3,1,all,sew_clif_equal,2,0.043137538580246916,0.9568624614197531,14312,331776,batch_x_channel_x_time,139931
bci2a,3,1,all,sew_clif_equal,3,0.1501856674382716,0.8498143325617284,49828,331776,batch_x_channel_x_time,139931
bci2a,3,2,n25,sew_clif_equal,0,0.18685498649691357,0.8131450135030864,61994,331776,batch_x_channel_x_time,142423
bci2a,3,2,n25,sew_clif_equal,1,0.033989800347222224,0.9660101996527778,11277,331776,batch_x_channel_x_time,142423
bci2a,3,2,n25,sew_clif_equal,2,0.05515769675925926,0.9448423032407407,18300,331776,batch_x_channel_x_time,142423
bci2a,3,2,n25,sew_clif_equal,3,0.15327208719135801,0.846727912808642,50852,331776,batch_x_channel_x_time,142423
bci2a,3,2,n50,sew_clif_equal,0,0.1980613425925926,0.8019386574074074,65712,331776,batch_x_channel_x_time,157919
bci2a,3,2,n50,sew_clif_equal,1,0.04067503375771605,0.9593249662422839,13495,331776,batch_x_channel_x_time,157919
bci2a,3,2,n50,sew_clif_equal,2,0.06885368441358025,0.9311463155864197,22844,331776,batch_x_channel_x_time,157919
bci2a,3,2,n50,sew_clif_equal,3,0.1683907214506173,0.8316092785493827,55868,331776,batch_x_channel_x_time,157919
bci2a,3,2,all,sew_clif_equal,0,0.19903489101080246,0.8009651089891976,66035,331776,batch_x_channel_x_time,150183
bci2a,3,2,all,sew_clif_equal,1,0.03593388310185185,0.9640661168981481,11922,331776,batch_x_channel_x_time,150183
bci2a,3,2,all,sew_clif_equal,2,0.05698423032407408,0.9430157696759259,18906,331776,batch_x_channel_x_time,150183
bci2a,3,2,all,sew_clif_equal,3,0.1607108410493827,0.8392891589506173,53320,331776,batch_x_channel_x_time,150183
bci2a,4,0,n25,sew_clif_equal,0,0.16303771219135801,0.836962287808642,54092,331776,batch_x_channel_x_time,114891
bci2a,4,0,n25,sew_clif_equal,1,0.023687668788580248,0.9763123312114198,7859,331776,batch_x_channel_x_time,114891
bci2a,4,0,n25,sew_clif_equal,2,0.03446903935185185,0.9655309606481481,11436,331776,batch_x_channel_x_time,114891
bci2a,4,0,n25,sew_clif_equal,3,0.12509645061728394,0.8749035493827161,41504,331776,batch_x_channel_x_time,114891
bci2a,4,0,n50,sew_clif_equal,0,0.16729359567901234,0.8327064043209876,55504,331776,batch_x_channel_x_time,116590
bci2a,4,0,n50,sew_clif_equal,1,0.025996455439814815,0.9740035445601852,8625,331776,batch_x_channel_x_time,116590
bci2a,4,0,n50,sew_clif_equal,2,0.031265070408950615,0.9687349295910493,10373,331776,batch_x_channel_x_time,116590
bci2a,4,0,n50,sew_clif_equal,3,0.12685667438271606,0.8731433256172839,42088,331776,batch_x_channel_x_time,116590
bci2a,4,0,all,sew_clif_equal,0,0.17997383777006173,0.8200261622299383,59711,331776,batch_x_channel_x_time,129421
bci2a,4,0,all,sew_clif_equal,1,0.02960431134259259,0.9703956886574074,9822,331776,batch_x_channel_x_time,129421
bci2a,4,0,all,sew_clif_equal,2,0.04050925925925926,0.9594907407407407,13440,331776,batch_x_channel_x_time,129421
bci2a,4,0,all,sew_clif_equal,3,0.13999807098765432,0.8600019290123457,46448,331776,batch_x_channel_x_time,129421
bci2a,4,1,n25,sew_clif_equal,0,0.17656189718364199,0.823438102816358,58579,331776,batch_x_channel_x_time,115621
bci2a,4,1,n25,sew_clif_equal,1,0.019235869984567902,0.9807641300154321,6382,331776,batch_x_channel_x_time,115621
bci2a,4,1,n25,sew_clif_equal,2,0.026725863233024692,0.9732741367669753,8867,331776,batch_x_channel_x_time,115621
bci2a,4,1,n25,sew_clif_equal,3,0.12596752025462962,0.8740324797453703,41793,331776,batch_x_channel_x_time,115621
bci2a,4,1,n50,sew_clif_equal,0,0.1870237750771605,0.8129762249228395,62050,331776,batch_x_channel_x_time,138308
bci2a,4,1,n50,sew_clif_equal,1,0.03468906732253087,0.9653109326774691,11509,331776,batch_x_channel_x_time,138308
bci2a,4,1,n50,sew_clif_equal,2,0.045991874035493825,0.9540081259645061,15259,331776,batch_x_channel_x_time,138308
